"","id","date","weight","freight","city","state","lat","lon","shipments","state_full"
"58",58,"2019-02-12 00:00:00",581,221.93,"Henderson","CO",39.88416,-104.89045,3,"Colorado"
"59",59,"2019-02-13 00:00:00",504,333.46,"Portland","OR",45.53274,-122.55255,6,"Oregon"
"60",60,"2019-02-13 00:00:00",488,191.36,"Lenoir City","TN",35.79401,-84.26379,4,"Tennessee"
"61",61,"2019-02-14 00:00:00",3903,2380.66,"South Hackensack","NJ",40.86141,-74.04833,21,"New Jersey"
"62",62,"2019-02-15 00:00:00",1554,260.66,"Grandville","MI",42.89301,-85.75241,8,"Michigan"
"63",63,"2019-02-18 00:00:00",604,463.04,"Mansfield","MA",42.01704,-71.2151,2,"Massachusetts"
"64",64,"2019-02-19 00:00:00",2581,398.8,"Mt Sterling","IL",39.97117,-90.65417,16,"Illinois"
"65",65,"2019-02-19 00:00:00",1163,219.57,"Romeoville","IL",41.63452,-88.09769,9,"Illinois"
"66",66,"2019-02-20 00:00:00",2978,3023.2,"Stockton","CA",37.96154,-121.23225,13,"California"
"67",67,"2019-02-20 00:00:00",4072,1639.84,"Auburn","WA",47.30496,-122.2631,1,"Washington"
"68",68,"2019-02-21 00:00:00",766,397.14,"Breinigsville","PA",40.55276,-75.61496,9,"Pennsylvania"
"69",69,"2019-02-21 00:00:00",888,385.03,"Fontana","CA",34.04011,-117.49466,2,"California"
"70",70,"2019-02-22 00:00:00",1781,611.61,"South Hackensack","NJ",40.86141,-74.04833,21,"New Jersey"
"71",71,"2019-02-22 13:30:00",5551,4375,"Chino","CA",34.00688,-117.68987,8,"California"
"72",72,"2019-02-22 13:30:00",756,85,"Chino","CA",33.96314,-117.63632,8,"California"
"73",73,"2019-02-25 00:00:00",594,185,"Gahanna","OH",40.04255,-82.82503,1,"Ohio"
"74",74,"2019-02-25 00:00:00",608,388.15,"San Diego","CA",32.89699,-117.20093,1,"California"
"75",75,"2019-02-27 00:00:00",504,334.44,"Portland","OR",45.53274,-122.55255,6,"Oregon"
"76",76,"2019-02-28 00:00:00",860,254.85,"Romeoville","IL",41.63452,-88.09769,9,"Illinois"
"77",77,"2019-02-28 00:00:00",2260,1073.38,"Breinigsville","PA",40.55276,-75.61496,9,"Pennsylvania"
"78",78,"2019-02-28 00:00:00",698,570.13,"Elkton","FL",29.77702,-81.43981,3,"Florida"
"79",79,"2019-02-28 00:00:00",1570,712.3,"Des Moines","IA",41.61184,-93.60054,8,"Iowa"
"80",80,"2019-02-28 00:00:00",3617,2198.6,"South Hackensack","NJ",40.86141,-74.04833,21,"New Jersey"
"81",81,"2019-02-28 00:00:00",238,185,"Wyoming","MI",42.8986,-85.69747,2,"Michigan"
"82",82,"2019-02-28 00:00:00",504,185,"Newark","NJ",40.70736,-74.21051,8,"New Jersey"
"83",83,"2019-03-01 00:00:00",1012,191.6,"Mt Sterling","IL",39.97117,-90.65417,16,"Illinois"
"84",84,"2019-03-04 00:00:00",1822,455.9,"Bloomington","IN",39.19657,-86.59696,7,"Indiana"
"85",85,"2019-03-04 00:00:00",1944,316.27,"Nashville","TN",36.15108,-86.76452,2,"Tennessee"
"86",86,"2019-03-04 00:00:00",369,185,"New Holland","PA",40.11421,-76.08647,1,"Pennsylvania"
"87",87,"2019-03-04 00:00:00",1008,527.77,"Oakland","CA",37.80856,-122.30622,1,"California"
"88",88,"2019-03-04 00:00:00",342,211.6,"Fresno","CA",36.65264,-119.71794,1,"California"
"89",89,"2019-03-05 00:00:00",1368,552.54,"Columbus","OH",39.95113,-83.12866,2,"Ohio"
"90",90,"2019-03-05 00:00:00",3393,413.9,"Columbus","OH",39.95113,-83.12866,2,"Ohio"
"91",91,"2019-03-06 00:00:00",3552,2803.01,"Mira Loma","CA",33.98272,-117.55401,4,"California"
"92",92,"2019-03-06 00:00:00",720,428.91,"Chino","CA",33.96314,-117.63632,8,"California"
"93",93,"2019-03-06 00:00:00",2580,1604.89,"Stockton","CA",37.96154,-121.23225,13,"California"
"94",94,"2019-03-06 00:00:00",1273,910.74,"Aurora","CO",39.72416,-104.82013,2,"Colorado"
"95",95,"2019-03-07 00:00:00",1702,383.23,"Mt Sterling","IL",39.97117,-90.65417,16,"Illinois"
"96",96,"2019-03-07 00:00:00",728,310.25,"Romeoville","IL",41.63452,-88.09769,9,"Illinois"
"97",97,"2019-03-07 00:00:00",630,222.16,"Claysburg","PA",40.27991,-78.45776,3,"Pennsylvania"
"98",98,"2019-03-07 00:00:00",630,185.75,"Burlington","NC",36.08647,-79.43815,1,"North Carolina"
"99",99,"2019-03-07 00:00:00",925,711.08,"Flower Mound","TX",33.03975,-97.06705,5,"Texas"
"100",100,"2019-03-08 00:00:00",504,185.75,"Florence","KY",38.98143,-84.65737,5,"Kentucky"
"101",101,"2019-03-11 00:00:00",1332,684.33,"South Hackensack","NJ",40.86141,-74.04833,21,"New Jersey"
"102",108,"2019-03-14 00:00:00",1792,2257.15,"South Hackensack","NJ",40.86141,-74.04833,21,"New Jersey"
"103",102,"2019-03-14 00:00:00",436,256.11,"Mansfield","MA",42.01704,-71.2151,2,"Massachusetts"
"104",103,"2019-03-14 00:00:00",964,512.95,"Stockton","CA",37.96154,-121.23225,13,"California"
"105",104,"2019-03-14 00:00:00",1104,407.56,"Breinigsville","PA",40.55276,-75.61496,9,"Pennsylvania"
"106",105,"2019-03-14 00:00:00",1436,544.87,"Dallas","TX",32.75394,-96.86541,15,"Texas"
"107",106,"2019-03-14 00:00:00",609,528.19,"Portland","OR",45.53274,-122.55255,6,"Oregon"
"108",107,"2019-03-14 00:00:00",916,341.65,"Des Moines","IA",41.61184,-93.60054,8,"Iowa"
"109",109,"2019-03-15 00:00:00",1332,388.83,"Grandville","MI",42.89301,-85.75241,8,"Michigan"
"110",110,"2019-03-15 14:00:00",5392,5111.44,"Chino","CA",34.00688,-117.68987,8,"California"
"111",111,"2019-03-15 14:00:00",12244,5238.01,"Sacramento","CA",38.54163,-121.38112,3,"California"
"112",112,"2019-03-18 00:00:00",1243,1110,"South San Francisco","CA",37.65475,-122.41523,5,"California"
"113",121,"2019-03-22 00:00:00",524,0,"South Hackensack","NJ",40.86141,-74.04833,21,"New Jersey"
"114",124,"2019-03-22 00:00:00",504,257.99,"South San Francisco","CA",37.65475,-122.41523,5,"California"
"115",113,"2019-03-18 00:00:00",444,539.71,"Livermore","CA",37.73067,-121.74157,1,"California"
"116",114,"2019-03-19 00:00:00",1195,225.62,"Mt Sterling","IL",39.97117,-90.65417,16,"Illinois"
"117",119,"2019-03-22 00:00:00",5754,937.67,"Mt Sterling","IL",39.97117,-90.65417,16,"Illinois"
"118",115,"2019-03-20 00:00:00",1303,529.81,"Ontario","CA",34.0283,-117.61948,3,"California"
"119",116,"2019-03-21 00:00:00",1882,377.36,"Romeoville","IL",41.63452,-88.09769,9,"Illinois"
"120",117,"2019-03-21 00:00:00",1192,903.68,"Flower Mound","TX",33.03975,-97.06705,5,"Texas"
"121",118,"2019-03-22 00:00:00",178,185.75,"Dallas","TX",32.87895,-96.7069,15,"Texas"
"122",120,"2019-03-22 00:00:00",1573,1010.33,"Dallas","TX",32.78356,-96.79862,15,"Texas"
"123",122,"2019-03-22 00:00:00",1008,242.75,"Newark","NJ",40.70736,-74.21051,8,"New Jersey"
"124",123,"2019-03-22 00:00:00",155,185.75,"Live Oak","FL",30.26664,-83.10429,1,"Florida"
"125",125,"2019-03-25 00:00:00",504,185.75,"Florence","KY",38.98143,-84.65737,5,"Kentucky"
"126",126,"2019-03-25 00:00:00",1327,961.78,"Fontana","CA",34.04011,-117.49466,2,"California"
"127",127,"2019-03-26 00:00:00",563,185.75,"Windsor","VA",36.87224,-76.7025,2,"Virginia"
"128",128,"2019-03-27 00:00:00",666,658.75,"Mira Loma","CA",33.98272,-117.55401,4,"California"
"129",129,"2019-03-27 00:00:00",1093,761.07,"Stockton","CA",37.96154,-121.23225,13,"California"
"130",130,"2019-03-27 00:00:00",600,405.92,"Stockton","CA",37.93825,-121.28295,13,"California"
"131",140,"2019-03-29 00:00:00",1215,866.12,"Stockton","CA",37.96154,-121.23225,13,"California"
"132",131,"2019-03-27 00:00:00",752,195.06,"Bloomington","IN",39.19657,-86.59696,7,"Indiana"
"133",132,"2019-03-28 00:00:00",746,512.92,"Des Moines","IA",41.61184,-93.60054,8,"Iowa"
"134",133,"2019-03-28 00:00:00",386,201.17,"Romeoville","IL",41.63452,-88.09769,9,"Illinois"
"135",134,"2019-03-28 00:00:00",2540,0,"South Hackensack","NJ",40.86141,-74.04833,21,"New Jersey"
"136",135,"2019-03-28 00:00:00",3276,2208.78,"South Hackensack","NJ",40.86141,-74.04833,21,"New Jersey"
"137",136,"2019-03-28 00:00:00",2138,0,"South Hackensack","NJ",40.86141,-74.04833,21,"New Jersey"
"138",137,"2019-03-28 00:00:00",524,0,"South Hackensack","NJ",40.86141,-74.04833,21,"New Jersey"
"139",138,"2019-03-29 00:00:00",888,293.15,"Grandville","MI",42.89301,-85.75241,8,"Michigan"
"140",139,"2019-03-29 00:00:00",7794,1077.45,"Mt Sterling","IL",39.97117,-90.65417,16,"Illinois"
"141",141,"2019-04-03 00:00:00",222,510.22,"Los Angeles","CA",34.00351,-118.43239,1,"California"
"142",142,"2019-04-03 00:00:00",2016,222.39,"Florence","KY",38.98143,-84.65737,5,"Kentucky"
"143",143,"2019-04-03 11:30:00",8924,2203.78,"South Hackensack","NJ",40.86141,-74.04833,21,"New Jersey"
"144",144,"2019-04-04 00:00:00",533,581.15,"Elkton","FL",29.77702,-81.43981,3,"Florida"
"145",145,"2019-04-04 00:00:00",444,545.8,"Tucson","AZ",32.32144,-110.92073,1,"Arizona"
"146",146,"2019-04-04 00:00:00",3254,1870.88,"Dallas","TX",32.75394,-96.86541,15,"Texas"
"147",148,"2019-04-05 00:00:00",1512,926.76,"Dallas","TX",32.78356,-96.79862,15,"Texas"
"148",147,"2019-04-05 00:00:00",1332,388.83,"Grandville","MI",42.89301,-85.75241,8,"Michigan"
"149",149,"2019-04-05 00:00:00",222,351.22,"Glendale","CA",34.13713,-118.26078,1,"California"
"150",150,"2019-04-05 00:00:00",5378,937.67,"Mt Sterling","IL",39.97117,-90.65417,16,"Illinois"
"151",151,"2019-04-08 00:00:00",238,196.19,"Wyoming","MI",42.8986,-85.69747,2,"Michigan"
"152",152,"2019-04-09 00:00:00",1057,306.74,"Romeoville","IL",41.63452,-88.09769,9,"Illinois"
"153",156,"2019-04-11 00:00:00",847,248.14,"Romeoville","IL",41.63452,-88.09769,9,"Illinois"
"154",153,"2019-04-10 00:00:00",755,977.64,"Chino","CA",34.00688,-117.68987,8,"California"
"155",157,"2019-04-11 00:00:00",504,373.29,"Chino","CA",33.96314,-117.63632,8,"California"
"156",154,"2019-04-11 00:00:00",475,193.81,"Lenoir City","TN",35.79401,-84.26379,4,"Tennessee"
"157",155,"2019-04-11 00:00:00",666,401.23,"Douglasville","GA",33.71824,-84.76464,3,"Georgia"
"158",158,"2019-04-11 00:00:00",655,628,"Marina del Rey","CA",33.9764,-118.45836,3,"California"
"159",159,"2019-04-12 00:00:00",2454,1726.95,"Dallas","TX",32.78356,-96.79862,15,"Texas"
"160",160,"2019-04-12 00:00:00",1512,200.45,"Florence","KY",38.98143,-84.65737,5,"Kentucky"
"161",161,"2019-04-12 00:00:00",6205.1,745.65,"Mt Sterling","IL",39.97117,-90.65417,16,"Illinois"
"162",162,"2019-04-18 00:00:00",888,294.35,"Grandville","MI",42.89301,-85.75241,8,"Michigan"
"163",163,"2019-04-18 00:00:00",1221,730.29,"Dallas","TX",32.78356,-96.79862,15,"Texas"
"164",164,"2019-04-18 00:00:00",799,616.07,"Aurora","CO",39.72416,-104.82013,2,"Colorado"
"165",165,"2019-04-18 00:00:00",897,359.97,"Breinigsville","PA",40.55276,-75.61496,9,"Pennsylvania"
"166",166,"2019-04-19 00:00:00",2016,223.3,"Florence","KY",38.98143,-84.65737,5,"Kentucky"
"167",167,"2019-04-22 00:00:00",504,259,"South San Francisco","CA",37.65475,-122.41523,5,"California"
"168",171,"2019-04-24 11:00:00",6075,2209.14,"South Hackensack","NJ",40.86141,-74.04833,21,"New Jersey"
"169",176,"2019-04-25 00:00:00",1008,243.73,"South Hackensack","NJ",40.86141,-74.04833,21,"New Jersey"
"170",168,"2019-04-23 00:00:00",1043,353.74,"Bloomington","IN",39.19657,-86.59696,7,"Indiana"
"171",180,"2019-04-25 00:00:00",1341,400.82,"Bloomington","IN",39.19657,-86.59696,7,"Indiana"
"172",169,"2019-04-24 00:00:00",600,248.57,"Windsor","VA",36.87224,-76.7025,2,"Virginia"
"173",170,"2019-04-24 00:00:00",733,612.08,"Stockton","CA",37.96154,-121.23225,13,"California"
"174",172,"2019-04-25 00:00:00",475,0,"Newark","NJ",40.70736,-74.21051,8,"New Jersey"
"175",175,"2019-04-25 00:00:00",1008,426.19,"Newark","NJ",40.70736,-74.21051,8,"New Jersey"
"176",173,"2019-04-25 00:00:00",888,864,"Flower Mound","TX",33.03975,-97.06705,5,"Texas"
"177",174,"2019-04-25 00:00:00",1970,1734.09,"Dallas","TX",32.78356,-96.79862,15,"Texas"
"178",177,"2019-04-25 00:00:00",924,305.65,"Romeoville","IL",41.63452,-88.09769,9,"Illinois"
"179",178,"2019-04-25 00:00:00",5912,698.09,"Mt Sterling","IL",39.97117,-90.65417,16,"Illinois"
"180",179,"2019-04-25 00:00:00",564,558,"Portland","OR",45.53274,-122.55255,6,"Oregon"
"181",181,"2019-05-02 00:00:00",234,187.25,"Des Moines","IA",41.61184,-93.60054,8,"Iowa"
"182",187,"2019-05-03 00:00:00",1080,0,"Des Moines","IA",41.61184,-93.60054,8,"Iowa"
"183",182,"2019-05-02 00:00:00",710,423.52,"Douglasville","GA",33.71824,-84.76464,3,"Georgia"
"184",183,"2019-05-02 00:00:00",2160,1741.24,"Dallas","TX",32.78356,-96.79862,15,"Texas"
"185",184,"2019-05-02 00:00:00",508,187.25,"Breinigsville","PA",40.55276,-75.61496,9,"Pennsylvania"
"186",185,"2019-05-02 00:00:00",756,220.32,"South Hackensack","NJ",40.86141,-74.04833,21,"New Jersey"
"187",186,"2019-05-03 00:00:00",1243,366.15,"Grandville","MI",42.89301,-85.75241,8,"Michigan"
"188",188,"2019-05-08 14:00:00",4477,1261.16,"Mt Sterling","IL",39.97117,-90.65417,16,"Illinois"
"189",189,"2019-05-09 00:00:00",234,0,"South Hackensack","NJ",40.86141,-74.04833,21,"New Jersey"
"190",191,"2019-05-09 00:00:00",799,0,"South Hackensack","NJ",40.86141,-74.04833,21,"New Jersey"
"191",190,"2019-05-09 00:00:00",475,249.36,"Lenoir City","TN",35.79401,-84.26379,4,"Tennessee"
"192",192,"2019-05-09 00:00:00",1066,314.73,"Grandville","MI",42.89301,-85.75241,8,"Michigan"
"193",193,"2019-05-09 00:00:00",666,664.17,"Mira Loma","CA",33.98272,-117.55401,4,"California"
"194",194,"2019-05-09 00:00:00",2628,1893.11,"Dallas","TX",32.78356,-96.79862,15,"Texas"
"195",195,"2019-05-09 00:00:00",1910,0,"Breinigsville","PA",40.55276,-75.61496,9,"Pennsylvania"
"196",196,"2019-05-09 00:00:00",474,411.43,"Portland","OR",45.53274,-122.55255,6,"Oregon"
"197",197,"2019-05-16 00:00:00",2001,2244.25,"Dallas","TX",32.78356,-96.79862,15,"Texas"
"198",198,"2019-05-16 00:00:00",526,528.41,"Elkton","FL",29.77702,-81.43981,3,"Florida"
"199",199,"2019-05-16 00:00:00",596,455.06,"Stockton","CA",37.96154,-121.23225,13,"California"
"200",200,"2019-05-16 00:00:00",1143,842.61,"Flower Mound","TX",33.03975,-97.06705,5,"Texas"
"201",201,"2019-05-22 00:00:00",526,599.51,"Stockton","CA",37.96154,-121.23225,13,"California"
"202",202,"2019-05-22 00:00:00",1137,274.89,"Warren","MI",42.47216,-82.99225,1,"Michigan"
"203",203,"2019-05-23 00:00:00",1051,939.4,"South San Francisco","CA",37.65475,-122.41523,5,"California"
"204",204,"2019-05-23 00:00:00",515,2244.25,"Dallas","TX",32.78356,-96.79862,15,"Texas"
"205",205,"2019-05-23 00:00:00",5286,3648.79,"Rancho Cucamonga","CA",34.10121,-117.58421,1,"California"
"206",206,"2019-05-23 00:00:00",634,218.31,"Durant","OK",33.99809,-96.37898,1,"Oklahoma"
"207",207,"2019-05-24 00:00:00",3910,1726.66,"Tremont","PA",40.63521,-76.41552,1,"Pennsylvania"
"208",208,"2019-05-28 00:00:00",1305,399.75,"Romeoville","IL",41.63452,-88.09769,9,"Illinois"
